target_quarter,variable,contribution,abs_contribution,abs_contribution_share,direction,prediction
1965 Q1,DPCERA3M086SBEA,3.466299362541216,3.466299362541216,0.22189478933486415,positive,12.02845916804833
1965 Q1,UEMP15T26,0.041462803474148976,0.041462803474148976,0.0026542370060571373,positive,12.02845916804833
1965 Q1,DMANEMP,3.3555199007483383,3.3555199007483383,0.21480325373271722,positive,12.02845916804833
1965 Q1,IPDMAT,-0.9714702451313051,0.9714702451313051,0.06218856562650296,negative,12.02845916804833
1965 Q1,W875RX1,-3.691841534238433,3.691841534238433,0.23633284774831623,negative,12.02845916804833
1965 Q1,UNRATE,2.3007932384961993,2.3007932384961993,0.14728503731567805,positive,12.02845916804833
1965 Q1,GDP_growth_lag1,-0.7392159037732864,0.7392159037732864,0.04732082837776082,negative,12.02845916804833
1965 Q1,GDP_growth_lag2,-1.054761411056587,1.054761411056587,0.06752044085810333,negative,12.02845916804833
1965 Q1,covid_dummy,0.0,0.0,0.0,neutral,12.02845916804833
1965 Q2,DPCERA3M086SBEA,-0.12801677168239475,0.12801677168239475,0.010177341409483124,negative,4.401959341121038
1965 Q2,UEMP15T26,0.05136243668842373,0.05136243668842373,0.004083316950828388,positive,4.401959341121038
1965 Q2,DMANEMP,3.496494835395732,3.496494835395732,0.2779715595750382,positive,4.401959341121038
1965 Q2,IPDMAT,-0.3146874882251963,0.3146874882251963,0.025017675128586027,negative,4.401959341121038
1965 Q2,W875RX1,-2.961973663031808,2.961973663031808,0.23547709271532632,negative,4.401959341121038
1965 Q2,UNRATE,0.7558495878678952,0.7558495878678952,0.060090089828492246,positive,4.401959341121038
1965 Q2,GDP_growth_lag1,-4.767128004576018,4.767128004576018,0.37898697653184393,negative,4.401959341121038
1965 Q2,GDP_growth_lag2,-0.10309360212562019,0.10309360212562019,0.008195947860401665,negative,4.401959341121038
1965 Q2,covid_dummy,0.0,0.0,0.0,neutral,4.401959341121038
1965 Q3,DPCERA3M086SBEA,1.762052920958056,1.762052920958056,0.10965992459032022,positive,8.89286536615943
1965 Q3,UEMP15T26,0.004561217362696112,0.004561217362696112,0.0002838636377398686,positive,8.89286536615943
1965 Q3,DMANEMP,4.218385310965291,4.218385310965291,0.2625277649673836,positive,8.89286536615943
1965 Q3,IPDMAT,-0.26372211254619204,0.26372211254619204,0.016412530310889434,negative,8.89286536615943
1965 Q3,W875RX1,-4.111530911116407,4.111530911116407,0.2558777686533107,negative,8.89286536615943
1965 Q3,UNRATE,2.251141605402119,2.251141605402119,0.14009795946214096,positive,8.89286536615943
1965 Q3,GDP_growth_lag1,-2.5136973085572802,2.5136973085572802,0.15643789923710463,negative,8.89286536615943
1965 Q3,GDP_growth_lag2,-0.9432483237103078,0.9432483237103078,0.0587022891411106,negative,8.89286536615943
1965 Q3,covid_dummy,0.0,0.0,0.0,neutral,8.89286536615943
1965 Q4,DPCERA3M086SBEA,0.7208313093090133,0.7208313093090133,0.04288764269259529,positive,4.956999162857979
1965 Q4,UEMP15T26,-0.00011556143951897421,0.00011556143951897421,6.875613840751013e-06,negative,4.956999162857979
1965 Q4,DMANEMP,3.642500920131598,3.642500920131598,0.21671960686586145,positive,4.956999162857979
1965 Q4,IPDMAT,-0.06902549842673193,0.06902549842673193,0.004106842856259603,negative,4.956999162857979
1965 Q4,W875RX1,-5.221287798338919,5.221287798338919,0.310653439436509,negative,4.956999162857979
1965 Q4,UNRATE,2.268432720997411,2.268432720997411,0.13496601875352554,positive,4.956999162857979
1965 Q4,GDP_growth_lag1,-4.3974913833473455,4.3974913833473455,0.26163963295872517,negative,4.956999162857979
1965 Q4,GDP_growth_lag2,-0.4877507978048982,0.4877507978048982,0.029019940822683127,negative,4.956999162857979
1965 Q4,covid_dummy,0.0,0.0,0.0,neutral,4.956999162857979
1966 Q1,DPCERA3M086SBEA,0.5747733735669629,0.5747733735669629,0.029395045621253443,positive,7.767876936053475
1966 Q1,UEMP15T26,-0.44877393704382257,0.44877393704382257,0.02295118556234896,negative,7.767876936053475
1966 Q1,DMANEMP,7.717098602209697,7.717098602209697,0.394667665392884,positive,7.767876936053475
1966 Q1,IPDMAT,-1.806207338747781,1.806207338747781,0.09237301093897703,negative,7.767876936053475
1966 Q1,W875RX1,-1.6776072610990074,1.6776072610990074,0.08579614895610017,negative,7.767876936053475
